,Protein,Number_of_detected_peptides
0,SRRM2_HUMAN,345
1,SRRM1_HUMAN,171
2,MAP1B_HUMAN,128
3,TP53B_HUMAN,128
4,K2C8_HUMAN,96
5,AHNK_HUMAN,92
6,BCLF1_HUMAN,91
7,TR150_HUMAN,91
8,K1C18_HUMAN,90
9,LARP1_HUMAN,80
10,CHAP1_HUMAN,71
11,TB182_HUMAN,71
12,FLNA_HUMAN,70
13,NCOR2_HUMAN,70
14,NUCL_HUMAN,70
15,KI67_HUMAN,66
16,NPM_HUMAN,66
17,NUCKS_HUMAN,61
18,CH60_HUMAN,59
19,G3P_HUMAN,58
20,ZC3HD_HUMAN,58
21,FAS_HUMAN,56
22,TCOF_HUMAN,56
23,MAP4_HUMAN,54
24,NASP_HUMAN,53
25,TIF1B_HUMAN,52
26,FA83H_HUMAN,51
27,ACINU_HUMAN,50
28,EF2_HUMAN,50
29,NEST_HUMAN,49
30,VIME_HUMAN,49
31,NAV1_HUMAN,48
32,HS90B_HUMAN,47
33,HSP7C_HUMAN,47
34,PERM_HUMAN,47
35,SCRIB_HUMAN,47
36,ATX2L_HUMAN,46
37,CCD86_HUMAN,46
38,CE170_HUMAN,46
39,HS90A_HUMAN,45
40,ENOA_HUMAN,44
41,PLEC_HUMAN,44
42,ROA2_HUMAN,44
43,SF3B1_HUMAN,44
44,ARI1A_HUMAN,43
45,K1C19_HUMAN,43
46,LMNA_HUMAN,43
47,MDC1_HUMAN,43
48,PKCB1_HUMAN,43
49,HNRPM_HUMAN,42
50,SFR19_HUMAN,42
51,RBP2_HUMAN,41
52,RB_HUMAN,41
53,I2BP2_HUMAN,40
54,KPYM_HUMAN,40
55,RIF1_HUMAN,40
56,TKT_HUMAN,40
57,MA7D1_HUMAN,39
58,PCM1_HUMAN,39
59,IF4G1_HUMAN,38
60,MYPT1_HUMAN,38
61,SC16A_HUMAN,38
62,SON_HUMAN,38
63,ZO2_HUMAN,38
64,ATX2_HUMAN,37
65,IF4B_HUMAN,37
66,MRP_HUMAN,37
67,RBM15_HUMAN,37
68,SI1L1_HUMAN,37
69,CDK13_HUMAN,36
70,CXA1_HUMAN,36
71,PRC2A_HUMAN,36
72,RRP1B_HUMAN,36
73,HNRPC_HUMAN,35
74,HNRPU_HUMAN,35
75,NUMA1_HUMAN,35
76,PRP4B_HUMAN,35
77,TOP2B_HUMAN,35
78,DDX21_HUMAN,34
79,PDIA1_HUMAN,34
80,RBBP6_HUMAN,34
81,UBA1_HUMAN,34
82,CHD4_HUMAN,33
83,GRP78_HUMAN,33
84,MCM2_HUMAN,33
85,NOLC1_HUMAN,33
86,RPRD2_HUMAN,33
87,SCAFB_HUMAN,33
88,SRC8_HUMAN,33
89,TEBP_HUMAN,33
90,ALDOA_HUMAN,32
91,NOP56_HUMAN,32
92,PKHA5_HUMAN,32
93,REPS1_HUMAN,32
94,UBP2L_HUMAN,32
95,ATRX_HUMAN,31
96,EF1D_HUMAN,31
97,FOXK1_HUMAN,31
98,INCE_HUMAN,31
99,IRS2_HUMAN,31
100,RASL3_HUMAN,31
101,ROA1_HUMAN,31
102,SHRM2_HUMAN,31
103,YAP1_HUMAN,31
104,4EBP1_HUMAN,30
105,BC11A_HUMAN,30
106,CALX_HUMAN,30
107,CTND1_HUMAN,30
108,IF2P_HUMAN,30
109,PCBP1_HUMAN,30
110,SQSTM_HUMAN,30
111,ZDHC5_HUMAN,30
112,ARHG2_HUMAN,29
113,BD1L1_HUMAN,29
114,DPYL2_HUMAN,29
115,ENPL_HUMAN,29
116,HNRPK_HUMAN,29
117,HUWE1_HUMAN,29
118,ILF3_HUMAN,29
119,MCM3_HUMAN,29
120,PDS5B_HUMAN,29
121,PHRF1_HUMAN,29
122,PRC2C_HUMAN,29
123,STMN1_HUMAN,29
124,ZN687_HUMAN,29
125,ZO1_HUMAN,29
126,CDK12_HUMAN,28
127,CLAP2_HUMAN,28
128,DNLI1_HUMAN,28
129,IWS1_HUMAN,28
130,LAP2B_HUMAN,28
131,MCAF1_HUMAN,28
132,NAV2_HUMAN,28
133,PARD3_HUMAN,28
134,PAXI_HUMAN,28
135,TB10B_HUMAN,28
136,TERA_HUMAN,28
137,TOIP1_HUMAN,28
138,ZC3H4_HUMAN,28
139,AKP13_HUMAN,27
140,MACF1_HUMAN,27
141,MAP1S_HUMAN,27
142,MATR3_HUMAN,27
143,PAIRB_HUMAN,27
144,PTN14_HUMAN,27
145,RSF1_HUMAN,27
146,TOP2A_HUMAN,27
147,TRA2B_HUMAN,27
148,ABCF1_HUMAN,26
149,ANLN_HUMAN,26
150,G6PD_HUMAN,26
151,GTF2I_HUMAN,26
152,NIPA_HUMAN,26
153,PRC2B_HUMAN,26
154,RL1D1_HUMAN,26
155,SHRM3_HUMAN,26
156,TRPS1_HUMAN,26
157,UBP36_HUMAN,26
158,ALBU_HUMAN,25
159,ATPB_HUMAN,25
160,CLAP1_HUMAN,25
161,DCP1A_HUMAN,25
162,DREB_HUMAN,25
163,HMHA1_HUMAN,25
164,KMT2D_HUMAN,25
165,KRI1_HUMAN,25
166,LA_HUMAN,25
167,LDHB_HUMAN,25
168,LITD1_HUMAN,25
169,LS14A_HUMAN,25
170,MYH9_HUMAN,25
171,NONO_HUMAN,25
172,NOP2_HUMAN,25
173,SPTB2_HUMAN,25
174,TPR_HUMAN,25
175,4ET_HUMAN,24
176,ADDA_HUMAN,24
177,ARHGB_HUMAN,24
178,HDGR2_HUMAN,24
179,HIRP3_HUMAN,24
180,MARCS_HUMAN,24
181,MSH6_HUMAN,24
182,MYCB2_HUMAN,24
183,NCOR1_HUMAN,24
184,NU153_HUMAN,24
185,PML_HUMAN,24
186,RBMX_HUMAN,24
187,SG223_HUMAN,24
188,TACC2_HUMAN,24
189,ZN462_HUMAN,24
190,BAG6_HUMAN,23
191,BUD13_HUMAN,23
192,DHX9_HUMAN,23
193,KMT2A_HUMAN,23
194,LEUK_HUMAN,23
195,LUZP1_HUMAN,23
196,MFAP1_HUMAN,23
197,MYH10_HUMAN,23
198,PDIA3_HUMAN,23
199,PPIG_HUMAN,23
200,PUR6_HUMAN,23
201,RREB1_HUMAN,23
202,SEM6A_HUMAN,23
203,TPIS_HUMAN,23
204,ZCCHV_HUMAN,23
205,ZN609_HUMAN,23
206,BAG3_HUMAN,22
207,BCL9L_HUMAN,22
208,BCL9_HUMAN,22
209,CLH1_HUMAN,22
210,DLG5_HUMAN,22
211,EF1A1_HUMAN,22
212,HSPB1_HUMAN,22
213,IRS1_HUMAN,22
214,LSP1_HUMAN,22
215,MAP1A_HUMAN,22
216,MBB1A_HUMAN,22
217,MEPCE_HUMAN,22
218,PGK1_HUMAN,22
219,PININ_HUMAN,22
220,PRAM_HUMAN,22
221,PUM1_HUMAN,22
222,RFIP1_HUMAN,22
223,RLA2_HUMAN,22
224,SMCA4_HUMAN,22
225,SYEP_HUMAN,22
226,WDR44_HUMAN,22
227,WIZ_HUMAN,22
228,YETS2_HUMAN,22
229,ZCH18_HUMAN,22
230,ZN318_HUMAN,22
231,1433E_HUMAN,21
232,41_HUMAN,21
233,AKAP2_HUMAN,21
234,CDK18_HUMAN,21
235,DOCK7_HUMAN,21
236,E41L2_HUMAN,21
237,ENAH_HUMAN,21
238,F122A_HUMAN,21
239,FKBP4_HUMAN,21
240,HDGF_HUMAN,21
241,K1522_HUMAN,21
242,LAP2A_HUMAN,21
243,LIMA1_HUMAN,21
244,MINT_HUMAN,21
245,MPRIP_HUMAN,21
246,MYC_HUMAN,21
247,PHLB1_HUMAN,21
248,SAFB1_HUMAN,21
249,SLTM_HUMAN,21
250,SMRCD_HUMAN,21
251,STK10_HUMAN,21
252,UBE2O_HUMAN,21
253,WNK1_HUMAN,21
254,XRCC1_HUMAN,21
255,YBOX1_HUMAN,21
256,ZC11A_HUMAN,21
257,ACTB_HUMAN,20
258,ANR17_HUMAN,20
259,C2CD5_HUMAN,20
260,CAF1A_HUMAN,20
261,DDX42_HUMAN,20
262,DTL_HUMAN,20
263,FLNB_HUMAN,20
264,GMIP_HUMAN,20
265,I2BPL_HUMAN,20
266,NU214_HUMAN,20
267,PABP2_HUMAN,20
268,PCBP2_HUMAN,20
269,PHAR4_HUMAN,20
270,PTN12_HUMAN,20
271,RBM14_HUMAN,20
272,RS3A_HUMAN,20
273,SFPQ_HUMAN,20
274,SI1L2_HUMAN,20
275,SIK3_HUMAN,20
276,TBCD4_HUMAN,20
277,TCPB_HUMAN,20
278,TRA2A_HUMAN,20
279,WAC_HUMAN,20
